[2024-04-11 09:14:10,762] multiqc                                            [DEBUG  ]  This is MultiQC v1.21
[2024-04-11 09:14:10,927] multiqc                                            [DEBUG  ]  Running Python 3.11.8 | packaged by conda-forge | (main, Feb 16 2024, 20:53:32) [GCC 12.3.0]
[2024-04-11 09:14:10,927] multiqc                                            [DEBUG  ]  Analysing modules: adapterRemoval, afterqc, anglerfish, bakta, bamdst, bamtools, bbduk, bbmap, bcftools, bcl2fastq, bclconvert, biobambam2, biobloomtools, biscuit, bismark, bowtie1, bowtie2, bracken, busco, bustools, ccs, cellranger, checkqc, clipandmerge, clusterflow, conpair, cutadapt, damageprofiler, dedup, deeptools, diamond, disambiguate, dragen, dragen_fastqc, eigenstratdatabasetools, fastp, fastq_screen, fastqc, featureCounts, fgbio, filtlong, flash, flexbar, freyja, gatk, gffcompare, goleft_indexcov, gopeaks, happy, hicexplorer, hicpro, hicup, hifiasm, hisat2, homer, hops, htseq, humid, interop, isoseq, ivar, jcvi, jellyfish, kaiju, kallisto, kat, kraken, leehom, librarian, lima, longranger, macs2, malt, mapdamage, megahit, metaphlan, methylqa, minionqc, mirtop, mirtrace, mosdepth, motus, mtnucratio, multivcfanalyzer, nanostat, nextclade, ngsderive, nonpareil, optitype, pangolin, pbmarkdup, peddy, phantompeakqualtools, picard, porechop, preseq, prinseqplusplus, prokka, purple, pychopper, pycoqc, qc3C, qorts, qualimap, quast, rna_seqc, rockhopper, rsem, rseqc, salmon, sambamba, samblaster, samtools, sargasso, seqera_cli, seqwho, seqyclean, sexdeterrmine, sickle, skewer, slamdunk, snippy, snpeff, snpsplit, somalier, sortmerna, sourmash, spaceranger, stacks, star, supernova, theta2, tophat, trimmomatic, truvari, umitools, varscan2, vcftools, vep, verifybamid, whatshap, xengsort, xenome, odgi, custom_content
[2024-04-11 09:14:10,927] multiqc                                            [DEBUG  ]  Using temporary directory for creating report: /tmp/tmp64u8xs_k
[2024-04-11 09:14:10,928] multiqc                                            [INFO   ]  Search path : /tmp/jean/pggb/work/15/1eecc7f3e3c582bb967c4e65351a67
[2024-04-11 09:14:10,947] multiqc                                            [DEBUG  ]  Summary of files that were skipped by the search: [skipped_module_specific_max_filesize: 9] // [skipped_no_match: 8]
[2024-04-11 09:14:10,982] multiqc.modules.odgi.odgi                          [INFO   ]  Found 2 reports
[2024-04-11 09:14:10,982] multiqc.utils.util_functions                       [DEBUG  ]  Wrote data file multiqc_odgi_stats.txt
[2024-04-11 09:14:11,042] multiqc.plots.bargraph                             [WARNING]  Tried to make bar plot, but had no data: odgi_mean_links_length_plot
[2024-04-11 09:14:11,048] multiqc.modules.custom_content.custom_content      [INFO   ]  odgi_O: Found 1 sample (image)
[2024-04-11 09:14:11,048] multiqc.modules.custom_content.custom_content      [INFO   ]  odgi_viz: Found 1 sample (image)
[2024-04-11 09:14:11,049] multiqc.modules.custom_content.custom_content      [INFO   ]  odgi_viz_pos: Found 1 sample (image)
[2024-04-11 09:14:11,049] multiqc.modules.custom_content.custom_content      [INFO   ]  odgi_viz_inv: Found 1 sample (image)
[2024-04-11 09:14:11,049] multiqc.modules.custom_content.custom_content      [INFO   ]  odgi_viz_depth: Found 1 sample (image)
[2024-04-11 09:14:11,049] multiqc.modules.custom_content.custom_content      [INFO   ]  odgi_viz_uncalled: Found 1 sample (image)
[2024-04-11 09:14:11,049] multiqc.modules.custom_content.custom_content      [INFO   ]  odgi_draw: Found 1 sample (image)
[2024-04-11 09:14:11,049] multiqc.modules.custom_content.custom_content      [INFO   ]  nf-core-pangenome-summary: Found 1 sample (html)
[2024-04-11 09:14:11,049] multiqc.utils.software_versions                    [DEBUG  ]  Reading software versions from config.software_versions
[2024-04-11 09:14:11,049] multiqc.utils.software_versions                    [DEBUG  ]  Reading software versions settings from: 11/nf_core_pangenome_software_mqc_versions.yml
[2024-04-11 09:14:11,051] multiqc.utils.util_functions                       [DEBUG  ]  Wrote data file multiqc_software_versions.txt
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-methods-description' not found.
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found.
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-methods-description' not found for module 'ODGI'.
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'ODGI'.
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-summary' not found for module 'ODGI'.
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-methods-description' not found for module 'ODGI Compressed 1D visualization'.
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'ODGI Compressed 1D visualization'.
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-summary' not found for module 'ODGI Compressed 1D visualization'.
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-methods-description' not found for module 'ODGI 1D visualization'.
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'ODGI 1D visualization'.
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-summary' not found for module 'ODGI 1D visualization'.
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-methods-description' not found for module 'ODGI 1D visualization by path position'.
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'ODGI 1D visualization by path position'.
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-summary' not found for module 'ODGI 1D visualization by path position'.
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-methods-description' not found for module 'ODGI 1D visualization by path orientation'.
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'ODGI 1D visualization by path orientation'.
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-summary' not found for module 'ODGI 1D visualization by path orientation'.
[2024-04-11 09:14:11,051] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-methods-description' not found for module 'ODGI 1D visualization by node depth'.
[2024-04-11 09:14:11,052] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'ODGI 1D visualization by node depth'.
[2024-04-11 09:14:11,052] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-summary' not found for module 'ODGI 1D visualization by node depth'.
[2024-04-11 09:14:11,052] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-methods-description' not found for module 'ODGI 1D visualization by uncalled bases'.
[2024-04-11 09:14:11,052] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'ODGI 1D visualization by uncalled bases'.
[2024-04-11 09:14:11,052] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-summary' not found for module 'ODGI 1D visualization by uncalled bases'.
[2024-04-11 09:14:11,052] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-methods-description' not found for module 'ODGI 2D drawing'.
[2024-04-11 09:14:11,052] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'ODGI 2D drawing'.
[2024-04-11 09:14:11,052] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-summary' not found for module 'ODGI 2D drawing'.
[2024-04-11 09:14:11,052] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-methods-description' not found for module 'Software Versions'.
[2024-04-11 09:14:11,052] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'Software Versions'.
[2024-04-11 09:14:11,052] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-summary' not found for module 'Software Versions'.
[2024-04-11 09:14:11,052] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-methods-description' not found for module 'nf-core/pangenome Workflow Summary'.
[2024-04-11 09:14:11,052] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'software_versions' not found for module 'nf-core/pangenome Workflow Summary'.
[2024-04-11 09:14:11,052] multiqc                                            [DEBUG  ]  Reordering sections: anchor 'nf-core-pangenome-summary' not found for module 'nf-core/pangenome Workflow Summary'.
[2024-04-11 09:14:11,052] multiqc                                            [DEBUG  ]  Compressing plot data
[2024-04-11 09:14:11,058] multiqc.utils.util_functions                       [DEBUG  ]  Wrote data file multiqc_data.json
[2024-04-11 09:14:11,058] multiqc                                            [INFO   ]  Report      : multiqc_report.html
[2024-04-11 09:14:11,058] multiqc                                            [INFO   ]  Data        : multiqc_data
[2024-04-11 09:14:11,058] multiqc                                            [DEBUG  ]  Moving data file from '/tmp/tmp64u8xs_k/multiqc_data' to '/tmp/jean/pggb/work/15/1eecc7f3e3c582bb967c4e65351a67/multiqc_data'
[2024-04-11 09:14:11,058] multiqc                                            [DEBUG  ]  Full report path: /tmp/jean/pggb/work/15/1eecc7f3e3c582bb967c4e65351a67/multiqc_report.html
[2024-04-11 09:14:11,059] multiqc                                            [INFO   ]  Plots       : multiqc_plots
[2024-04-11 09:14:11,059] multiqc                                            [DEBUG  ]  Moving plots directory from '/tmp/tmp64u8xs_k/multiqc_plots' to '/tmp/jean/pggb/work/15/1eecc7f3e3c582bb967c4e65351a67/multiqc_plots'
[2024-04-11 09:14:11,159] multiqc                                            [INFO   ]  MultiQC complete
